FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-24,15-24 anni,2020,14.444,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-24,15-24 anni,2021,15.158,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-24,15-24 anni,2022,16.529,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-24,15-24 anni,2023,16.709,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-24,15-24 anni,2024,15.532,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-24,15-24 anni,2025,14.963,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2018,44.989,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2019,44.387,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2020,43.08,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2021,43.902,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2022,46.675,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2023,48.369,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2024,50.686,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y25-34,25-34 anni,2025,49.943,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2018,59.563,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2019,59.613,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2020,57.524,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2021,59.06,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2022,63.204,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2023,65.078,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2024,66.218,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-34,15-34 anni,2025,64.906,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2018,95.657,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2019,93.881,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2020,91.453,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2021,91.552,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2022,90.614,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2023,88.203,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2024,87.771,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y35-49,35-49 anni,2025,87.038,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2018,79.14,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2019,81.67,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2020,79.192,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2021,80.522,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2022,83.756,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2023,85.92,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2024,89.35,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y50-64,50-64 anni,2025,94.126,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2018,234.36,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2019,235.164,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2020,228.17,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2021,231.133,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2022,237.574,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2023,239.202,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2024,243.339,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-64,15-64 anni,2025,246.07,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2018,239.539,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2019,240.642,,
