FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2008,7.399186,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2009,9.211708,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2010,10.598841,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2011,10.413401,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2012,13.885682,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2013,16.767961,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2014,17.464102,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2015,16.502022,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2016,16.214546,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2017,15.488951,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2018,14.357478,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2019,13.488951,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2020,13.062326,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2021,13.03841,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2022,9.731255,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2023,9.489122,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2024,8.410659,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y25-34,25-34 anni,2025,8.293673,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2004,11.27301,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2005,11.462994,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2006,10.342809,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2007,9.467995,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2008,10.16223,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2009,12.612289,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2010,14.601029,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2011,14.442401,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2012,18.962262,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2013,22.31625,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2014,23.519227,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2015,22.081724,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2016,21.206263,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2017,19.785958,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,18.361305,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,17.056191,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,16.879393,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,16.73576,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,12.954769,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,12.484606,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,11.140648,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2025,10.886938,,
