FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025,185.192,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2018,565.398,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2019,521.994,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2020,629.242,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2021,604.008,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2022,487.338,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,412.38,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,378.079,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025,344.399,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2018,598.467,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2019,557.54,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2020,666.434,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2021,665.47,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2022,532.016,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,428.402,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,392.392,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025,353.967,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2018,855.87,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2019,802.484,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2020,950.331,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2021,922.083,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2022,766.026,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,634.91,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,599.376,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025,552.581,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2018,205.438,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2019,192.636,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2020,236.395,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2021,257.526,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2022,186.962,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,135.193,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,138.397,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025,111.328,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2018,339.758,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2019,320.203,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2020,392.958,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2021,379.712,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2022,294.769,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,238.421,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,225.744,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025,209.033,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2018,359.087,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2019,344.338,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2020,419.019,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2021,420.71,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2022,321.671,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,250.68,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,235.828,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025,215.599,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2018,509.502,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2019,481.191,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2020,581.786,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2021,574.133,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2022,460.734,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,373.748,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,359.713,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025,333.272,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2018,61.151,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2019,57.316,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2020,64.334,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2021,68.523,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2022,51.292,,
