FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2018,18.337677,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2019,17.327773,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2020,19.907894,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2021,19.270478,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2022,15.184591,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2023,12.998362,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2024,11.46567,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2025,10.721686,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2018,15.529016,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2019,14.406603,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2020,17.113238,,
A,Annuale,ITCD,Nord,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2021,17.000545,,
