train_end_year,target,model,n_test,MAE,RMSE,MAPE_%,R2
2021,unemployment_rate,ElasticNet ML lineare,84,0.735910081318995,0.9656915478432525,12.089685065648933,0.9405039647111111
2021,unemployment_rate,Ridge ML lineare,84,0.7879923091702354,0.9907115341632972,13.495395010581493,0.9373810755401224
2021,unemployment_rate,Gradient Boosting,84,0.9062852309313576,1.1682292762950948,17.176312433889425,0.9129302421246768
2021,unemployment_rate,Random Forest,84,0.9490229596764425,1.2264382220942283,18.789242486607055,0.9040372866213896
2021,unemployment_rate,Naive lag-1,84,1.0041814761904762,1.2628142545536085,15.035384326394945,0.8982603787427449
2021,unemployment_rate,OLS classica,84,1.261923490646628,1.678745339463479,27.58631557385281,0.8202036771190173
2021,employed_thousands,Naive lag-1,84,18.21565476190478,28.66249791165655,1.6488313854753425,0.9992127723140327
2021,employed_thousands,Gradient Boosting,84,30.377330433145104,47.214523982830876,3.830189878333454,0.9978638904671906
2021,employed_thousands,ElasticNet ML lineare,84,34.92905196617113,47.19161659424273,6.571933545650531,0.9978659627456552
2021,employed_thousands,Ridge ML lineare,84,35.843971360254294,48.45710418971389,6.864954063047842,0.9977499757375894
2021,employed_thousands,Random Forest,84,145.00953304947512,286.7043754828797,11.63746420462764,0.9212336122639201
2021,employed_thousands,OLS classica,84,185.70723909503062,203.02386909858765,43.686042612953294,0.9605027838004397
2022,unemployment_rate,Random Forest,63,0.7164350923033211,0.95667250898417,14.11660846681799,0.9374251862723546
2022,unemployment_rate,Gradient Boosting,63,0.8426648051885477,1.1067410776682998,13.609058230977139,0.9162538142681574
2022,unemployment_rate,Naive lag-1,63,0.8795105873015874,1.1220549198748329,13.60598896098097,0.9139202086373603
2022,unemployment_rate,ElasticNet ML lineare,63,1.7866927502039558,1.9833910546396607,36.434344235142085,0.7310387729788093
2022,unemployment_rate,OLS classica,63,1.9317877602218485,2.173961035376361,43.166682414352145,0.6768705892334013
2022,unemployment_rate,Ridge ML lineare,63,1.9331864696822698,2.131323881037113,40.23793944726326,0.6894211487123784
2022,employed_thousands,Naive lag-1,63,15.259238095238095,24.144436467832616,1.3941496681863697,0.9994481504621342
2022,employed_thousands,Gradient Boosting,63,32.9211953833409,50.58226211541467,4.206702748015631,0.9975779504040008
2022,employed_thousands,Ridge ML lineare,63,36.555275372289124,44.589169260294526,9.984518703860616,0.9981178887155362
2022,employed_thousands,ElasticNet ML lineare,63,38.044209116311585,46.758819179345295,10.120902360423248,0.9979302704187223
2022,employed_thousands,OLS classica,63,53.76965157508527,72.2674082222601,7.4634044482267266,0.9950560793061259
2022,employed_thousands,Random Forest,63,101.79739272589485,191.22013832714825,9.597328723213797,0.9653858403496686
2023,unemployment_rate,Random Forest,42,0.7218452244452873,0.9514588217067678,14.007192494747786,0.9244321057671488
2023,unemployment_rate,Gradient Boosting,42,0.739954671931567,0.9480158101638043,13.815527126839871,0.9249780261410161
2023,unemployment_rate,ElasticNet ML lineare,42,0.8537241724910952,1.0075697359955078,17.703359779865416,0.9152562740872505
2023,unemployment_rate,Ridge ML lineare,42,0.8770457745486121,1.0469069928750452,18.811777537485117,0.9085100210864995
2023,unemployment_rate,OLS classica,42,0.9113870046006509,1.2013891460874606,17.41980115702811,0.8795172881661047
2023,unemployment_rate,Naive lag-1,42,0.9559632380952381,1.2356816695246353,14.854439671211841,0.8725409918448755
2023,employed_thousands,Naive lag-1,42,12.763523809523818,20.398330465062678,1.1643679879511317,0.9996091247526515
2023,employed_thousands,Gradient Boosting,42,29.704592679300873,48.85186849357818,3.7420470605383613,0.9977581255830401
2023,employed_thousands,Ridge ML lineare,42,31.9372415209996,38.351651354096845,7.453942239941129,0.9986182894944117
2023,employed_thousands,OLS classica,42,32.44828521721328,40.11956872198456,9.42627133273608,0.9984879664280738
2023,employed_thousands,ElasticNet ML lineare,42,34.55473621216253,42.508057120961574,7.503047191854092,0.9983025717202294
2023,employed_thousands,Random Forest,42,57.31803888827829,105.46068750246502,6.082443122287059,0.98955207325809
