target,model,n_test,MAE,RMSE,MAPE_%,R2
unemployment_rate,Random Forest,42,0.7218452244452873,0.9514588217067678,14.007192494747786,0.9244321057671488
unemployment_rate,Gradient Boosting,42,0.739954671931567,0.9480158101638043,13.815527126839871,0.9249780261410161
unemployment_rate,ElasticNet ML lineare,42,0.8537241724910952,1.0075697359955078,17.703359779865416,0.9152562740872505
unemployment_rate,Ridge ML lineare,42,0.8770457745486121,1.0469069928750452,18.811777537485117,0.9085100210864995
unemployment_rate,OLS classica,42,0.9113870046006509,1.2013891460874606,17.41980115702811,0.8795172881661047
unemployment_rate,Naive lag-1,42,0.9559632380952381,1.2356816695246353,14.854439671211841,0.8725409918448755
employed_thousands,Naive lag-1,42,12.763523809523818,20.398330465062678,1.1643679879511317,0.9996091247526515
employed_thousands,Gradient Boosting,42,29.704592679300873,48.85186849357818,3.7420470605383613,0.9977581255830401
employed_thousands,Ridge ML lineare,42,31.9372415209996,38.351651354096845,7.453942239941129,0.9986182894944117
employed_thousands,OLS classica,42,32.44828521721328,40.11956872198456,9.42627133273608,0.9984879664280738
employed_thousands,ElasticNet ML lineare,42,34.55473621216253,42.508057120961574,7.503047191854092,0.9983025717202294
employed_thousands,Random Forest,42,57.31803888827829,105.46068750246502,6.082443122287059,0.98955207325809
