model,n_test,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,42,0.9285714285714286,1.0,0.85,0.918918918918919,0.9704545454545455
Random Forest Classifier,42,0.7619047619047619,1.0,0.5,0.6666666666666666,0.959090909090909
