target,model,MAE_mean,MAE_std,RMSE_mean,MAPE_mean,R2_mean,windows
employed_thousands,Naive lag-1,15.412805555555565,2.7293076418991147,24.40175494818395,1.4024496805376145,0.9994233491762728,3
employed_thousands,Gradient Boosting,31.001039498595627,1.6965827382280179,48.88288486394125,3.926313228962482,0.9977333221514105,3
employed_thousands,Ridge ML lineare,34.778829417847675,2.486454238673881,43.799308268035084,8.101138335616529,0.9981620513158457,3
employed_thousands,ElasticNet ML lineare,35.84266576488175,1.915756486898437,45.486164298183205,8.065294365975957,0.9980329349615357,3
employed_thousands,OLS classica,90.64172529577638,83.01649897025769,105.1369486809441,20.19190613130537,0.9846822765115465,3
employed_thousands,Random Forest,101.37498822121609,43.84727307632692,194.461733770831,9.105745350042833,0.9587238419572263,3
unemployment_rate,Random Forest,0.7957677588083504,0.13275046074228086,1.0448565175950553,15.637681149390943,0.9219648595536309,3
unemployment_rate,Gradient Boosting,0.8296349026838241,0.08392733454457882,1.0743287213757329,14.866965930568812,0.9180540275112835,3
unemployment_rate,Naive lag-1,0.9465517671957672,0.06286604387469522,1.2068502813176922,14.498604319529251,0.8949071930749936,3
unemployment_rate,ElasticNet ML lineare,1.1254423346713487,0.575681443205538,1.3188841128261404,22.075796360218813,0.862266337259057,3
unemployment_rate,Ridge ML lineare,1.1994081844670392,0.6370286954400309,1.3896474693584853,24.181703998443286,0.8451040817796667,3
unemployment_rate,OLS classica,1.368366085156376,0.5184611315832197,1.684698506975767,29.390933048411025,0.7921971848395079,3
